"id","date","conract","price","quantity"
"444121195","2022-01-26T00:00:34+03:00","PH22012603","731.99","5"
"444121022","2022-01-26T00:00:35+03:00","PH22012603","732","5"
"444121234","2022-01-26T00:00:43+03:00","PH22012603","731.99","5"
"444120877","2022-01-26T00:00:56+03:00","PH22012608","1341.99","10"
"444121289","2022-01-26T00:00:56+03:00","PH22012608","1341.98","10"
"444121519","2022-01-26T00:00:57+03:00","PH22012608","1342","120"
"444120887","2022-01-26T00:00:58+03:00","PH22012608","1342.88","50"
"444121529","2022-01-26T00:00:59+03:00","PH22012608","1342.9","65"
"444120892","2022-01-26T00:01:00+03:00","PH22012608","1343.8","100"
"444120896","2022-01-26T00:01:00+03:00","PH22012608","1344.98","200"
"444121356","2022-01-26T00:01:01+03:00","PH22012603","731.99","3"
"444121715","2022-01-26T00:01:01+03:00","PH22012608","1345","92"
"444120907","2022-01-26T00:01:02+03:00","PH22012608","1345","40"
"444121358","2022-01-26T00:01:02+03:00","PH22012607","1091.94","3"
"444121360","2022-01-26T00:01:02+03:00","PH22012604","697.9","1"
"444121554","2022-01-26T00:01:02+03:00","PH22012608","1345","81"
"444121915","2022-01-26T00:01:05+03:00","PB22012604-01","700","9"
"444121384","2022-01-26T00:01:07+03:00","PH22012603","720.01","75"
"444121755","2022-01-26T00:01:07+03:00","PB22012604-01","700","9"
"444121761","2022-01-26T00:01:07+03:00","PH22012603","720.01","8"
"444121626","2022-01-26T00:01:20+03:00","PH22012603","725.02","8"
"444121966","2022-01-26T00:01:23+03:00","PH22012603","725.01","15"
"444121988","2022-01-26T00:01:30+03:00","PH22012603","725.01","3"
"444121875","2022-01-26T00:01:35+03:00","PH22012603","725","50"
"444122147","2022-01-26T00:01:48+03:00","PH22012603","725.01","50"
"444122202","2022-01-26T00:02:01+03:00","PH22012607","1091.94","2"
"444122597","2022-01-26T00:02:01+03:00","PH22012604","697.98","2"
"444122090","2022-01-26T00:02:09+03:00","PH22012606","830.85","39"
"444122234","2022-01-26T00:02:10+03:00","PH22012606","830.89","21"
"444122434","2022-01-26T00:02:17+03:00","PH22012605","694.98","2"
"444122912","2022-01-26T00:02:27+03:00","PH22012603","705","22"
"444123205","2022-01-26T00:02:49+03:00","PH22012608","1345","50"
